Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Luke loved this one,Main Dish,30,,Taste From Home,,Chicken,,,12/8/2018,28/12/2018
Pasta Salad,⭐⭐⭐,Fairly Easy,Make night before,Salad,20,,Taste From Home,,"Kielbasa,Noodles",,,,#ERROR
Lasagna,⭐⭐⭐,Fairly Easy,Make night before,Main Dish,45,,Taste From Home,,"Sausage,Noodles",,,1/6/2019,22/2/2019
Hearty Pancakes,⭐⭐⭐⭐,Average,Makes enough for 2 days,Breakfast,20,Image 29 April 2017 07:50 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/WN9ad_N3P0fVPc0nxwOtwA/nXe5GtqoZ6cvdBphWLjiSz_jOyzf0D35iTPtmCQe_mcMjM0ARRgUhR6k_Ny--FKkyC6N32SWSi71K9mqgxzo2g/csIAsLAQdF_nvetzopjD19wlZLKY72puBnL5FKBP8oU),Taste From Home,,"Milk,Eggs,Corn Meal",,,,#ERROR
Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,,Salad,30,Image 08 May 2017 07:00 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/8383f2uvz3IM9Jy3w_Ufqg/TPMKFnUHx30kcbhzxo0NRiGOwZTOl0yWVxqX2tq3f_3gbjNCVbTjpsBbK0fVkPxhQIsd1QmXcZBgEDp0U2w5xQ/00eR3rbwovridMlrqcgTAd0QszMbc-dqQOW8SKP_7zg),Taste of Home,287,Vegetarian,,,11/18/2018,18/12/2018
Squash Corn Chowder,⭐⭐,Hard,,Main Dish,45,Image 08 May 2017 07:06 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/D2yoFWZy3GS5n3TccMB4MA/_WaRdA3tigw8MDl1RS7ozjni5AL9FbqwLQE54ER6zIe9yWDLXg4HR5Q160kN0-6Fny3WydzohNFTxjC7kqHYUA/M5EG6PZe306P4GycrlwqSdfhSfqpwvkiU1pb0mSKNoA),Taste From Home,,"Vegetarian,Potatoes",,,5/8/2017,9/7/2017
"White beans, tomatoes, and spinach",⭐⭐⭐,Fairly Easy,Luke likes this one,Main Dish,30,Image 10 May 2017 07:14 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/E6ioA2DKGtlShWnOMxBg_g/QiWOiMMIte71BfJz-yGezAm1eSw6ZxRN83e8HC7wY8hPySlA099MY-i0N8RcCUOPcapxqFAzZAA0aYumbmk27A/wvpwSBtDqzUZ1IyR4o7LLEv2BRGGEUgZd_Kvzif29B0),Taste From Home,,"Rice,Vegetarian,Beans,Eggs",,,1/7/2019,23/2/2019
Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15,,Taste From Home,,"Noodles,Marinara Sauce",,,6/4/2018,24/6/2018
Scones,⭐⭐⭐⭐⭐,Super Simple,Make dough night before,Baking Basics,45,Image 23 June 2017 11:21 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/rRgRbsJ7uiB8Q67sXE8Ppg/uFqf5-PIn0B44zb8e97cusNa_kArMteCNMDUod3LR-1iZMNpcDX7XYMjILr0vgO4U1-ow9Lk_6S2Ns4SK1F5GA/YS3k9ORVxH7JJ5GxP6oR6VcP1VspJo40zA5SKQzzzHo),"Pinterest,Taste of Home",,,,,5/13/2017,2/6/2017
Pizza,⭐⭐⭐⭐⭐,Average,Use half whole wheat flour,Main Dish,120,Image 14 May 2017 02:11 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/raTc8zvGCqBRjbbnYqMQGA/CWEDMIcBQBj0bLomjDFkXoysQDywErl9AXvvL54iCKpkF9u8fnr1MwPl3stEJwc2LIdmIjv96KLISP5Wk1_gMg/MMcxrLTIy_Z4UVo-HS5IiGg2qbQ6I6ekfAQ6-F873nc),Taste From Home,,"Sausage,Cheese",,,5/5/2017,25/5/2017
Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,25,,Taste of Home,4,"Chicken,Rice",,,2/5/2019,25/2/2019
Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,,Main Dish,30,,Taste of Home,62,"Sausage,Noodles,Cheese",,,6/18/2017,18/7/2017
Swedish Meatballs,⭐⭐⭐,Very Difficult,,Main Dish,90,,Taste of Home,110,"Beef,Noodles,Eggs",,,,#ERROR
Barley Beef Skillet,⭐⭐⭐⭐,Super Simple,,Main Dish,25,,Taste of Home,114,Beef,,,6/12/2017,12/7/2017
Southwest Beef & Rice Skillet,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,25,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/SJjF7bCbBKxlUGjAletR8w/G6rpskKlJeTc4ZdHzn7b6yLa574Q7CxPhTkJdg9VqGn-XI9EJNYM4hCb-DHOhWKfVlClsbYFRYKtFufkg-jSBg/L_UiQKtcPMIEnvh81x9-a1WW0LeWjKkllAMNBr1wwJg),Taste of Home,115,"Beef,Rice,Beans",,,7/29/2018,18/8/2018
Glazed Pork Chops with Corn Bread Dressing,⭐⭐⭐⭐,Average,,Main Dish,45,,Taste of Home,129,Pork,,,,#ERROR
Fried Rice,⭐⭐⭐⭐,Super Simple,,Main Dish,20,,Taste of Home,135,"Chicken,Eggs,Rice",,https://www.tasteofhome.com/recipes/mom-s-fried-rice,1/24/2019,23/2/2019
Zesty Sausage & Beans,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,45,,Taste of Home,141,"Sausage,Beans,Rice",checked,,6/16/2017,6/7/2017
Prosciutto Pasta Toss,⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,146,"Noodles,Ham",,,,#ERROR
Cashew Chicken with Noodles,⭐⭐⭐⭐⭐,Average,,Main Dish,20,,Taste of Home,175,"Noodles,Chicken",,,,#ERROR
Herb Chicken with Honey Butter,⭐⭐⭐,Average,,Main Dish,30,Image 23 May 2017 05:26 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/VpaSkX_xqiraxRYSsSuQVg/Gemq3KdHhvf7srA1wcNz628KXvUGjemDkzImLvlu5ydHUzzJ0Kn6EK1JSnHwAv0_Bw7GlrcJrnscgiGO1abYLg/aCSNmgkNRAMIRK0XbbSvIepK2uE4WDJFTtOZMv5EyoE),Taste of Home,176,Chicken,,,5/23/2017,9/7/2017
French Toast,⭐⭐⭐⭐,Super Simple,,Breakfast,10,,Taste of Home,245,Eggs,,,,#ERROR
Swedish Pancakes,⭐⭐⭐⭐,Fairly Easy,,Breakfast,20,,Taste of Home,245,"Milk,Eggs",,,,#ERROR
Baked Cheddar Eggs & Potatoes,⭐⭐⭐⭐⭐,Fairly Easy,Add bacon,Main Dish,45,Image 20 May 2017 07:52 PM.jpg (https://v5.airtableusercontent.com/v1/18/18/1688320800000/WWwaJ-ZMBHNo0UmUODyc1A/zuYVIo1VfaWnemirpOR_kx1lawhK5zyKob4FYTq9Vg6rZm0Qndgi0DeFmf6SO0chzo1P6x76PHp9cPaSWOuNwQ/85WF3Wgdja5ipsTz_zH4g-ObzndjB3f2b1wkFVOmLL0),Taste of Home,277,"Potatoes,Bacon,Cheese,Eggs",,,11/24/2018,14/12/2018
Baked Mostaccioli,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,90,,Taste of Home,284,"Noodles,Marinara Sauce,Cheese,Sausage",,,,#ERROR
